Country Code ISO3,Country,2021 SDG Index Rank,2021 SDG Index Score,Regional Score (0-100),Regions used for the SDR,Population in 2020,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
BGR,Bulgaria,45,73.8,71.4,E. Europe & C. Asia,"6,948,445",97.507,66.34725,79.553,67.553,72.472,70.8148,91.049,78.13733333,52.55233333,48.272,79.30433333,74.5085,79.682,60.4226,90.6512,73.96455556,72.06225
BHR,Bahrain,100,66.1,67.1,MENA,"1,701,583",,71.484,89.03792308,95.45733333,51.6325,71.3444,93.85866667,77.615,46.64066667,,48.55,67.26783333,51.34366667,47.569,45.52666667,71.6275,35.511
BHS,"Bahamas, The",,,68.6,LAC,"393,248",,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,47,73.7,71.4,E. Europe & C. Asia,"3,280,815",99.774,65.56942857,77.53869231,92.63853485,42.50775,77.3332,80.65166667,69.523,31.6925,79.138,74.44875,78.373,82.33133333,77.7515,70.9104,72.05255556,80.718
BLR,Belarus,24,78.8,71.4,E. Europe & C. Asia,"9,449,321",99.895,64.997375,83.72971429,98.091,79.75375,79.7214,90.59,67.80866667,45.35016667,92.686,76.0835,86.4325,88.83766667,,78.6014,74.67,73.8475
BLZ,Belize,104,64.4,68.6,LAC,"397,621",55.346,59.36257143,72.33930769,77.69433333,56.37825,75.8738,92.3135,58.4702,22.748,,79.086,72.233,91.13166667,67.9176,54.1744,60.812125,71.505
BOL,Bolivia,90,67.6,68.6,LAC,"11,673,029",85.899,57.89614286,68.49771429,88.92366667,71.6935,69.4056,73.54833333,72.19333333,25.90616667,40.2575,68.766,85.47533333,92.646,,67.1228,53.3699,64.80933333
BRA,Brazil,61,71.3,68.6,LAC,"212,559,409",86.9855,69.89925,77.83657143,87.65766667,70.29175,86.2456,94.76566667,65.27933333,59.66133333,12.404,75.9355,77.41133333,93.872,57.69283333,59.5172,61.4839,75.8255
BRB,Barbados,83,68.4,68.6,LAC,"287,371",91.8915,48.91,85.39338462,99.16866667,72.10225,59.2906,99.7145,70.0268,33.441,,80.995,45.38216667,70.537,61.08633333,65.65225,77.789,74.35
BRN,Brunei Darussalam,84,68.3,65.7,East & South Asia,"437,483",,54.70875,86.95708333,99.40966667,61.74133333,76.4606,90,69.29375,64.62016667,,100,51.20133333,14.09533333,51.8002,67.752,61.89033333,72.4035
BTN,Bhutan,75,70,65.7,East & South Asia,"771,612",90.262,54.5438,66.32184615,87.09466667,57.6885,71.011,75.7655,69.65875,33.3342,58.1365,84.56833333,82.39216667,88.72,,65.4092,84.51085714,59.6045
BWA,Botswana,115,61.9,51.9,Africa,"2,351,625",54.784,41.411375,53.73014286,89.67133333,70.16675,70.5678,59.543,59.6105,42.63683333,2.4055,80.962,71.8985,80.12433333,,74.1894,65.389,67.5965
CAF,Central African Republic,165,38.3,51.9,Africa,"4,829,764",0,43.6455,16.02607143,9.207,30.88825,45.5114,12.8275,47.698,3.526,9.641,19.243,72.73766667,99.673,,89.9138,44.737,37.32433333
CAN,Canada,21,79.2,77.2,OECD,"37,742,157",99.5335,67.3625,93.95292308,99.58704167,82.39025,85.8998,94.89266667,81.46166667,85.55133333,83.174,92.73725,51.02583333,47.559,63.661,59.8556,84.445,72.5525
CHE,Switzerland,16,80.1,77.2,OECD,"8,654,618",99.838,70.49525,96.54771429,99.61470833,84.887,89.8016,96.98866667,80.9478,97.359,84.209,99.05825,39.4245,59.35666667,,66.1382,82.345,51.24375
CHL,Chile,30,77.1,77.2,OECD,"19,116,209",99.7395,71.91475,85.24964286,97.57833333,71.17875,93.3062,90.58866667,77.2735,62.483,16.1575,86.2935,78.16583333,85.50233333,78.18583333,59.0926,77.3174,81.23
CHN,China,57,72.1,65.7,East & South Asia,"1,439,323,774",98.5565,81.1,81.68676923,97.52466667,76.20425,68.6428,78.194,71.63366667,72.95366667,30.659,77.9825,87.09583333,87.07733333,54.1015,49.6198,69.94328571,42.07225
CIV,Cote d'Ivoire,131,57.6,51.9,Africa,"26,378,275",43.7735,61.657625,39.35314286,51.82933333,39.16025,55.9624,54.25733333,68.6355,27.11016667,37.946,52.4525,94.497,98.71366667,79.46783333,71.3156,57.896,44.53425
CMR,Cameroon,134,55.3,51.9,Africa,"26,545,864",42.3005,64.80575,40.43064286,63.44166667,53.5235,53.211,55.90433333,60.96166667,16.3982,21.614,41.1735,94.84316667,99.022,73.856,64.272,48.9125,44.77225
COD,"Congo, Dem. Rep.",158,49.3,51.9,Africa,"89,561,404",0,47.618,37.68771429,59.86798374,42.2625,43.4154,36.49566667,54.83783333,9.924333333,43.0615,40.39625,92.6462,99.665,78.776,70.8576,38.9914,41.56366667
COG,"Congo, Rep.",144,52.9,51.9,Africa,"5,518,092",0,46.33542857,47.88442857,57.52433333,53.2815,53.1196,57.864,54.7344,6.7144,15.5185,53.88825,93.1956,97.42833333,75.9752,80.2574,57.143125,49.21325
COL,Colombia,68,70.6,77.2,OECD,"50,882,884",83.4345,64.122875,79.49271429,93.53366667,70.20425,81.1608,91.907,62.102,41.20383333,10.9575,80.7225,85.65916667,89.118,74.0935,60.337,61.8241,69.60075
COM,Comoros,,,51.9,Africa,"869,595",,,,,,,,,,,,,,,,,
